".rownames","Playoffs.fctr","Playoffs.fctr.predict.Max.cor.Y.glm.prob","Playoffs.fctr.predict.Max.cor.Y.glm","Playoffs.fctr.predict.Max.cor.Y.glm.accurate"
"1000","N",2.90070146546458e-12,"N",TRUE
"1003","Y",0.999999999997099,"Y",TRUE
"1006","N",2.90070146546456e-12,"N",TRUE
"1007","N",2.9007014654645e-12,"N",TRUE
"101","N",2.90070146546451e-12,"N",TRUE
"1011","N",2.90070146546458e-12,"N",TRUE
"1014","Y",0.999999999997099,"Y",TRUE
"1025","N",2.90070146546455e-12,"N",TRUE
"1028","N",2.90070146546475e-12,"N",TRUE
"1033","N",2.90070146546467e-12,"N",TRUE
"1034","N",2.90070146546463e-12,"N",TRUE
"1040","Y",0.999999999997099,"Y",TRUE
"1047","N",2.90070146546451e-12,"N",TRUE
"1048","N",2.90070146546452e-12,"N",TRUE
"1051","Y",0.999999999997099,"Y",TRUE
"1054","N",2.90070146546458e-12,"N",TRUE
"1056","N",2.90070146546451e-12,"N",TRUE
"1059","N",2.90070146546464e-12,"N",TRUE
"1062","N",2.90070146546449e-12,"N",TRUE
"1067","N",2.90070146546461e-12,"N",TRUE
"1068","N",2.90070146546466e-12,"N",TRUE
"1070","Y",0.999999999997099,"Y",TRUE
"1075","N",2.90070146546449e-12,"N",TRUE
"1080","N",2.90070146546453e-12,"N",TRUE
"1082","N",2.90070146546483e-12,"N",TRUE
"1083","Y",0.999999999997099,"Y",TRUE
"1084","N",2.90070146546457e-12,"N",TRUE
"1087","N",2.9007014654645e-12,"N",TRUE
"1090","N",2.90070146546448e-12,"N",TRUE
"1104","N",2.90070146546458e-12,"N",TRUE
"1106","N",2.90070146546455e-12,"N",TRUE
"1110","N",2.9007014654645e-12,"N",TRUE
"1111","Y",0.999999999997099,"Y",TRUE
"1114","N",2.90070146546461e-12,"N",TRUE
"1118","N",2.90070146546449e-12,"N",TRUE
"1119","N",2.90070146546451e-12,"N",TRUE
"1125","N",2.90070146546448e-12,"N",TRUE
"1128","N",2.90070146546456e-12,"N",TRUE
"1129","N",2.90070146546457e-12,"N",TRUE
"1135","N",2.90070146546465e-12,"N",TRUE
"1136","N",2.90070146546457e-12,"N",TRUE
"1138","N",2.90070146546455e-12,"N",TRUE
"1142","N",2.90070146546465e-12,"N",TRUE
"1143","N",2.90070146546463e-12,"N",TRUE
"1144","Y",0.999999999997099,"Y",TRUE
"1145","N",2.90070146546449e-12,"N",TRUE
"1149","N",2.90070146546447e-12,"N",TRUE
"1152","N",2.90070146546465e-12,"N",TRUE
"1157","N",2.90070146546444e-12,"N",TRUE
"116","Y",0.999999999997099,"Y",TRUE
"1160","N",2.90070146546449e-12,"N",TRUE
"1161","N",2.90070146546471e-12,"N",TRUE
"1163","Y",0.999999999997099,"Y",TRUE
"1168","N",2.90070146546453e-12,"N",TRUE
"1169","N",2.90070146546448e-12,"N",TRUE
"1171","N",2.90070146546457e-12,"N",TRUE
"1173","N",2.90070146546441e-12,"N",TRUE
"1176","N",2.9007014654644e-12,"N",TRUE
"1177","N",2.90070146546447e-12,"N",TRUE
"1179","N",2.90070146546453e-12,"N",TRUE
"118","N",2.90070146546451e-12,"N",TRUE
"1193","N",2.90070146546452e-12,"N",TRUE
"1196","N",2.90070146546445e-12,"N",TRUE
"12","N",2.90070146546465e-12,"N",TRUE
"1203","Y",0.999999999997099,"Y",TRUE
"1206","N",2.90070146546484e-12,"N",TRUE
"121","N",2.90070146546456e-12,"N",TRUE
"1211","N",2.90070146546446e-12,"N",TRUE
"1213","N",2.9007014654646e-12,"N",TRUE
"1215","N",2.90070146546476e-12,"N",TRUE
"1219","N",2.90070146546453e-12,"N",TRUE
"122","N",2.90070146546465e-12,"N",TRUE
"1224","N",2.90070146546448e-12,"N",TRUE
"1225","N",2.90070146546452e-12,"N",TRUE
"1228","N",2.90070146546457e-12,"N",TRUE
"1229","N",2.90070146546446e-12,"N",TRUE
"123","N",2.90070146546468e-12,"N",TRUE
"126","Y",0.999999999997099,"Y",TRUE
"137","N",2.9007014654645e-12,"N",TRUE
"145","N",2.90070146546465e-12,"N",TRUE
"148","N",2.90070146546458e-12,"N",TRUE
"149","N",2.90070146546452e-12,"N",TRUE
"15","N",2.90070146546467e-12,"N",TRUE
"156","N",2.90070146546465e-12,"N",TRUE
"161","N",2.90070146546465e-12,"N",TRUE
"162","N",2.90070146546464e-12,"N",TRUE
"166","N",2.90070146546455e-12,"N",TRUE
"176","N",2.90070146546459e-12,"N",TRUE
"182","N",2.90070146546458e-12,"N",TRUE
"184","N",2.90070146546452e-12,"N",TRUE
"187","N",2.90070146546457e-12,"N",TRUE
"188","N",2.90070146546459e-12,"N",TRUE
"189","N",2.90070146546461e-12,"N",TRUE
"197","Y",0.999999999997099,"Y",TRUE
"198","Y",0.999999999997099,"Y",TRUE
"201","N",2.90070146546453e-12,"N",TRUE
"208","N",2.90070146546457e-12,"N",TRUE
"209","N",2.90070146546451e-12,"N",TRUE
"216","Y",0.999999999997099,"Y",TRUE
"22","N",2.90070146546458e-12,"N",TRUE
"222","Y",0.999999999997099,"Y",TRUE
"224","Y",0.999999999997099,"Y",TRUE
"229","Y",0.999999999997099,"Y",TRUE
"231","N",2.9007014654645e-12,"N",TRUE
"233","Y",0.999999999997099,"Y",TRUE
"239","N",2.90070146546457e-12,"N",TRUE
"240","N",2.90070146546457e-12,"N",TRUE
"248","N",2.90070146546461e-12,"N",TRUE
"250","N",2.90070146546468e-12,"N",TRUE
"252","N",2.90070146546455e-12,"N",TRUE
"257","Y",0.999999999997099,"Y",TRUE
"26","Y",0.999999999997099,"Y",TRUE
"260","Y",0.999999999997099,"Y",TRUE
"262","N",2.90070146546452e-12,"N",TRUE
"263","N",2.90070146546465e-12,"N",TRUE
"266","N",2.90070146546448e-12,"N",TRUE
"269","N",2.90070146546449e-12,"N",TRUE
"279","N",2.90070146546468e-12,"N",TRUE
"282","Y",0.999999999997099,"Y",TRUE
"284","N",2.90070146546455e-12,"N",TRUE
"29","N",2.90070146546464e-12,"N",TRUE
"291","Y",0.999999999997099,"Y",TRUE
"298","N",2.90070146546473e-12,"N",TRUE
"301","Y",0.999999999997099,"Y",TRUE
"302","Y",0.999999999997099,"Y",TRUE
"303","Y",0.999999999997099,"Y",TRUE
"304","N",2.90070146546469e-12,"N",TRUE
"305","N",2.90070146546446e-12,"N",TRUE
"307","N",2.90070146546457e-12,"N",TRUE
"308","N",2.90070146546459e-12,"N",TRUE
"31","Y",0.999999999997099,"Y",TRUE
"314","N",2.90070146546474e-12,"N",TRUE
"315","N",2.90070146546447e-12,"N",TRUE
"317","Y",0.999999999997099,"Y",TRUE
"32","N",2.90070146546449e-12,"N",TRUE
"328","N",2.90070146546481e-12,"N",TRUE
"330","N",2.90070146546459e-12,"N",TRUE
"338","N",2.9007014654647e-12,"N",TRUE
"341","N",2.9007014654647e-12,"N",TRUE
"342","N",2.90070146546461e-12,"N",TRUE
"344","N",2.90070146546471e-12,"N",TRUE
"35","N",2.90070146546465e-12,"N",TRUE
"352","N",2.90070146546452e-12,"N",TRUE
"355","Y",0.999999999997099,"Y",TRUE
"358","N",2.90070146546474e-12,"N",TRUE
"359","N",2.90070146546464e-12,"N",TRUE
"360","N",2.90070146546457e-12,"N",TRUE
"362","N",2.90070146546453e-12,"N",TRUE
"37","N",2.90070146546458e-12,"N",TRUE
"371","N",2.90070146546458e-12,"N",TRUE
"375","N",2.90070146546452e-12,"N",TRUE
"376","N",2.90070146546464e-12,"N",TRUE
"377","N",2.90070146546467e-12,"N",TRUE
"379","Y",0.999999999997099,"Y",TRUE
"381","Y",0.999999999997099,"Y",TRUE
"384","N",2.90070146546461e-12,"N",TRUE
"392","Y",0.999999999997099,"Y",TRUE
"393","Y",0.999999999997099,"Y",TRUE
"395","Y",0.999999999997099,"Y",TRUE
"4","N",2.90070146546467e-12,"N",TRUE
"405","N",2.9007014654646e-12,"N",TRUE
"406","N",2.90070146546463e-12,"N",TRUE
"407","N",2.90070146546473e-12,"N",TRUE
"408","N",2.90070146546468e-12,"N",TRUE
"410","Y",0.999999999997099,"Y",TRUE
"413","N",2.90070146546459e-12,"N",TRUE
"414","N",2.90070146546463e-12,"N",TRUE
"416","N",2.90070146546452e-12,"N",TRUE
"417","N",2.90070146546462e-12,"N",TRUE
"419","Y",0.999999999997099,"Y",TRUE
"425","Y",0.999999999997099,"Y",TRUE
"426","Y",0.999999999997099,"Y",TRUE
"43","N",2.90070146546465e-12,"N",TRUE
"431","N",2.90070146546471e-12,"N",TRUE
"435","N",2.90070146546455e-12,"N",TRUE
"436","N",2.90070146546463e-12,"N",TRUE
"439","N",2.9007014654645e-12,"N",TRUE
"44","N",2.90070146546452e-12,"N",TRUE
"440","Y",0.999999999997099,"Y",TRUE
"441","N",2.90070146546463e-12,"N",TRUE
"444","Y",0.999999999997099,"Y",TRUE
"445","N",2.90070146546461e-12,"N",TRUE
"448","N",2.90070146546473e-12,"N",TRUE
"453","Y",0.999999999997099,"Y",TRUE
"454","N",2.90070146546459e-12,"N",TRUE
"457","N",2.90070146546461e-12,"N",TRUE
"459","N",2.90070146546455e-12,"N",TRUE
"464","N",2.9007014654645e-12,"N",TRUE
"467","N",2.90070146546459e-12,"N",TRUE
"47","N",2.90070146546473e-12,"N",TRUE
"475","Y",0.999999999997099,"Y",TRUE
"477","N",2.9007014654646e-12,"N",TRUE
"484","N",2.90070146546453e-12,"N",TRUE
"489","N",2.90070146546457e-12,"N",TRUE
"494","N",2.90070146546459e-12,"N",TRUE
"497","Y",0.999999999997099,"Y",TRUE
"498","N",2.90070146546459e-12,"N",TRUE
"502","N",2.90070146546453e-12,"N",TRUE
"507","Y",0.999999999997099,"Y",TRUE
"513","N",2.90070146546464e-12,"N",TRUE
"516","N",2.90070146546453e-12,"N",TRUE
"517","N",2.90070146546472e-12,"N",TRUE
"52","N",2.90070146546465e-12,"N",TRUE
"520","N",2.90070146546457e-12,"N",TRUE
"522","N",2.90070146546465e-12,"N",TRUE
"524","N",2.90070146546476e-12,"N",TRUE
"526","N",2.90070146546468e-12,"N",TRUE
"532","N",2.90070146546451e-12,"N",TRUE
"536","N",2.90070146546449e-12,"N",TRUE
"537","N",2.90070146546464e-12,"N",TRUE
"543","N",2.90070146546462e-12,"N",TRUE
"544","N",2.90070146546457e-12,"N",TRUE
"546","N",2.90070146546473e-12,"N",TRUE
"550","N",2.90070146546465e-12,"N",TRUE
"552","Y",0.999999999997099,"Y",TRUE
"554","Y",0.999999999997099,"Y",TRUE
"557","N",2.90070146546465e-12,"N",TRUE
"56","Y",0.999999999997099,"Y",TRUE
"561","Y",0.999999999997099,"Y",TRUE
"564","N",2.90070146546457e-12,"N",TRUE
"57","Y",0.999999999997099,"Y",TRUE
"572","N",2.90070146546446e-12,"N",TRUE
"574","Y",0.999999999997099,"Y",TRUE
"578","N",2.90070146546454e-12,"N",TRUE
"579","N",2.90070146546459e-12,"N",TRUE
"583","N",2.90070146546462e-12,"N",TRUE
"595","N",2.90070146546458e-12,"N",TRUE
"597","N",2.90070146546462e-12,"N",TRUE
"598","N",2.90070146546452e-12,"N",TRUE
"599","N",2.90070146546463e-12,"N",TRUE
"6","N",2.90070146546453e-12,"N",TRUE
"604","Y",0.999999999997099,"Y",TRUE
"610","N",2.90070146546466e-12,"N",TRUE
"611","N",2.90070146546455e-12,"N",TRUE
"612","N",2.90070146546452e-12,"N",TRUE
"615","N",2.90070146546455e-12,"N",TRUE
"62","Y",0.999999999997099,"Y",TRUE
"625","N",2.90070146546457e-12,"N",TRUE
"627","N",2.90070146546457e-12,"N",TRUE
"629","N",2.90070146546463e-12,"N",TRUE
"630","Y",0.999999999997099,"Y",TRUE
"637","N",2.90070146546455e-12,"N",TRUE
"640","N",2.90070146546482e-12,"N",TRUE
"644","N",2.90070146546465e-12,"N",TRUE
"649","N",2.90070146546454e-12,"N",TRUE
"651","N",2.90070146546451e-12,"N",TRUE
"655","N",2.90070146546453e-12,"N",TRUE
"658","N",2.90070146546453e-12,"N",TRUE
"662","N",2.90070146546461e-12,"N",TRUE
"671","N",2.90070146546454e-12,"N",TRUE
"673","Y",0.999999999997099,"Y",TRUE
"676","N",2.90070146546464e-12,"N",TRUE
"679","N",2.90070146546448e-12,"N",TRUE
"682","N",2.90070146546457e-12,"N",TRUE
"684","N",2.90070146546457e-12,"N",TRUE
"687","Y",0.999999999997099,"Y",TRUE
"688","Y",0.999999999997099,"Y",TRUE
"695","N",2.90070146546466e-12,"N",TRUE
"697","N",2.90070146546452e-12,"N",TRUE
"699","N",2.90070146546451e-12,"N",TRUE
"70","N",2.90070146546457e-12,"N",TRUE
"703","N",2.9007014654646e-12,"N",TRUE
"705","N",2.90070146546459e-12,"N",TRUE
"706","Y",0.999999999997099,"Y",TRUE
"708","N",2.90070146546461e-12,"N",TRUE
"711","N",2.90070146546463e-12,"N",TRUE
"713","N",2.90070146546455e-12,"N",TRUE
"715","N",2.90070146546451e-12,"N",TRUE
"716","N",2.90070146546452e-12,"N",TRUE
"718","N",2.90070146546455e-12,"N",TRUE
"719","N",2.90070146546457e-12,"N",TRUE
"724","N",2.90070146546475e-12,"N",TRUE
"73","N",2.90070146546469e-12,"N",TRUE
"734","N",2.9007014654646e-12,"N",TRUE
"735","N",2.90070146546462e-12,"N",TRUE
"741","N",2.90070146546474e-12,"N",TRUE
"744","N",2.90070146546453e-12,"N",TRUE
"746","N",2.90070146546457e-12,"N",TRUE
"750","N",2.90070146546462e-12,"N",TRUE
"752","N",2.90070146546457e-12,"N",TRUE
"758","N",2.90070146546448e-12,"N",TRUE
"759","N",2.90070146546451e-12,"N",TRUE
"760","N",2.9007014654646e-12,"N",TRUE
"762","N",2.90070146546462e-12,"N",TRUE
"767","N",2.90070146546467e-12,"N",TRUE
"770","Y",0.999999999997099,"Y",TRUE
"772","N",2.90070146546466e-12,"N",TRUE
"776","N",2.90070146546466e-12,"N",TRUE
"779","N",2.90070146546458e-12,"N",TRUE
"787","Y",0.999999999997099,"Y",TRUE
"788","N",2.90070146546454e-12,"N",TRUE
"790","N",2.90070146546475e-12,"N",TRUE
"797","N",2.90070146546449e-12,"N",TRUE
"8","N",2.90070146546468e-12,"N",TRUE
"80","N",2.90070146546457e-12,"N",TRUE
"800","N",2.90070146546451e-12,"N",TRUE
